file,class,method,variable,usage
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],fillForegroundColor,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],borderRight,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],locked,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],wrapped,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],borderBottom,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.ContentStyle],verticalAlignment,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],fillPatternType,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],hidden,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],topBorderColor,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],fillBackgroundColor,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],indent,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],rotation,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],bottomBorderColor,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],quotePrefix,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],borderTop,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],borderLeft,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],horizontalAlignment,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],rightBorderColor,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],shrinkToFit,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],leftBorderColor,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],fillForegroundColor,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],borderRight,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],locked,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],wrapped,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],borderBottom,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\StyleProperty.java,com.alibaba.excel.metadata.property.StyleProperty,build/1[com.alibaba.excel.annotation.write.style.HeadStyle],verticalAlignment,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\core\multiplesheets\MultipleSheetsListener.java,com.alibaba.easyexcel.test.core.multiplesheets.MultipleSheetsListener,doAfterAllAnalysed/1[com.alibaba.excel.context.AnalysisContext],LOGGER,2
